SEGMENT,ITP_REGION,ERP_SYSTEM,CONSOLIDATED_COMPANY_NAME,CONSOLIDATED_COMPANY_CODE,ERP_COMPANY_CODE,ERP_PLANT_CODE,ACCOUNTING_FACILITY_CODE,RECEIVING_FACILITY_CODE,RECEIVING_FACILITY_DESCRIPTION,SUPPLIER_CODE,SUPPLIER_NAME,SUPPLIER_INV_DATE,SUPPLIER_SHIP_DATE,SUPPLIER_INV_NUMBER,CAT_DOCUMENT_NO,DOCUMENT_CURR,AMOUNT_DOCUMENT_CURR,AMOUNT_USD_LINE,AMOUNT_USD_HEADER_VAT,AMOUNT_USD_HEADER,INV_RECEIPT_DATE,SCANNING_BARCODE,ENTRY_DATE,POSTING_DATE,PAYMENT_DATE,PAYMENT_TERMS,DUE_DATE,DUE_DATE_ERP,PO_NUMBER,DOCUMENT_TYPE,STATUS,TYPE_OF_VENDOR,TRANSACTION_CODE,USER_ID,GRIEF_CREATION_DATE,GRIEF_APPROVAL_DATE,GRIEF_CLOSURE_DATE_HEADER,GRIEF_CLOSURE_DATE_LINE,GRIEF_AGEING,GRANULAR_GRIEF_TYPE,CONSOLIDATED_GRIEF_TYPE,GRIEF_OWNER,GRIEF_ESCALATION,FREIGHT_TYPE,DESTINATION_CITY,DESTINATION_STATE,XPDT_LOAD_AUTH_ID,SECONDARY_CARRIER_PRO_NUMBER,ORIGIN_CITY,ORIGIN_STATE,METHOD_OF_ENTRY,LINE_ITEM_NUMBER,MD5_HASH,ETL_CREATED_DATE,ETL_CDC_DATE
,North America,CFPS,,,1,CP,1,CP,,8496,UNITED PARCEL SERVICE              ,25-12-2020,25-12-2020,FA16695201226 ,20201225FA16695201226 018496 ,USD,-0.27,-0.27,-0.27,-0.27,27-12-2020,,27-12-2020,05-01-2021,23-02-2021,60,25-02-2021,25-02-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,0000-12-30,0000-12-30,653,,,,,outbound,                         ,  ,          ,              ,                         ,  ,,,8e49c4e5c2980ffb1fe5328c3d4f277d,28:20.4,28:20.4
,North America,CFPS,,,1,92,1,92,,4984,"EVANS TRANSPORTATION SERVICES, INC ",01-07-2021,01-07-2021,D936218       ,20210701D936218       014984 ,USD,33.56,33.56,33.56,33.56,12-07-2021,,29-07-2021,03-08-2021,08-09-2021,60,10-09-2021,10-09-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,29-07-2021,29-07-2021,,,,,,Inbound,JOLIET                   ,IL,          ,U597295       ,DE PERE                  ,WI,,,dcfb2ef1209e2dd3d0796f67f43f9012,28:20.4,28:20.4
,North America,CFPS,,,1,JA,DQ,JA,,4984,"EVANS TRANSPORTATION SERVICES, INC ",06-02-2020,06-02-2020,D334571       ,20200206D334571       DQ4984 ,USD,10.69,10.69,10.69,10.69,11-02-2020,,25-02-2020,28-02-2020,09-04-2020,60,11-04-2020,11-04-2020,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,25-02-2020,25-02-2020,,,,,,outbound,SPARTANBURG              ,SC,          ,77762620902,SANFORD                  ,NC,,,53d4a7b00f532dbd4789eb1d26af25e1,28:20.4,28:20.4
,North America,CFPS,,,1,1G,1,1G,,2687A,CON-WAY FREIGHT                    ,03-12-2021,03-12-2021,780752000,20211203780752000     012687A,USD,12.03,12.03,12.03,12.03,17-12-2021,,22-12-2021,28-12-2021,03-01-2022,60,15-02-2022,15-02-2022,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,22-12-2021,22-12-2021,,,,,,Inbound,BARTONVILLE              ,IL,14028101,780752000,MACHESNEY PARK           ,IL,,,24f4c23920d201c5a071d3bfe9208bc7,28:20.4,28:20.4
,North America,CFPS,,,1,50,50,50,,7130,NORTH PARK TRANSPORTATION          ,01-02-2021,01-02-2021,16200859,2021020116200859      507130 ,USD,689.14,689.14,689.14,689.14,02-02-2021,,18-02-2021,23-02-2021,01-04-2021,30,04-03-2021,04-03-2021,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,18-02-2021,18-02-2021,,,,,,outbound,BILLINGS                 ,MT,167    167,              ,DENVER                   ,CO,,,0f697da3d3c66ed182cef34672aab08e,28:20.4,28:20.4
,North America,CFPS,,,1,R6,1,R6,,3999,COX TRANSFER INC                   ,17-01-2022,17-01-2022,894649,20220117894649        013999 ,USD,67.73,67.73,67.73,67.73,19-01-2022,,17-02-2022,22-02-2022,18-03-2022,60,20-03-2022,20-03-2022,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,24-01-2022,24-01-2022,,,,,,Inbound,CLAYTON                  ,OH,14776297,4700315647,MORTON                   ,IL,,,6b6e6d3eeacb756fd02e2287830ac09e,28:20.4,28:20.4
,North America,CFPS,,,1,92,92,92,,4888,EVANS DELIVERY COMPANY INC         ,02-12-2021,02-12-2021,AIL464338     ,20211202AIL464338     924888 ,USD,59.62,59.62,59.62,59.62,22-12-2021,,03-02-2022,08-02-2022,15-02-2022,30,21-01-2022,21-01-2022,,Y ,Cleared,,,CASS    ,01-01-1900,01-01-1900,03-02-2022,03-02-2022,,,,,,Inbound,JOLIET                   ,IL,          ,              ,HARVEY                   ,IL,,,5115f0f3918b8817706c395005b33f42,28:20.4,28:20.4
,North America,CFPS,,,1,UJ,1,UJ,,3046,ATS SPECIALIZED INC                ,04-08-2020,04-08-2020,4311628,202008044311628       013046 ,USD,2481.97,2481.97,2481.97,2481.97,07-08-2020,,12-08-2020,17-08-2020,05-10-2020,60,06-10-2020,06-10-2020,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,12-08-2020,12-08-2020,,,,,,outbound,RESERVE                  ,LA,423    423,4311628,NORTH LITTLE ROCK        ,AR,,,0ab9024f8d962f6fa1f68599020e6459,28:20.4,28:20.4
,North America,CFPS,,,1,88,88,88,,5060,G & D TRANSPORTATION               ,20-11-2020,20-11-2020,73541430,2020112073541430      885060 ,USD,75,75,75,75,10-12-2020,,15-12-2020,18-12-2020,08-02-2021,60,08-02-2021,08-02-2021,,U ,Cleared,,,CASS    ,01-01-1900,01-01-1900,15-12-2020,15-12-2020,,,,,,Inbound,LAFAYETTE                ,IN,541    541,324924,CHAMPAIGN                ,IL,,,d2194e06ed896eee03365aadc79ba589,28:20.4,28:20.4
,North America,CFPS,,,1,1,1,1,,5291,G T I ROLL TRANSPORTATION SERVICES ,19-10-2021,19-10-2021,I153342       ,20211019I153342       015291 ,USD,87325,87325,87325,87325,28-10-2021,,11-11-2021,16-11-2021,29-11-2021,30,27-11-2021,27-11-2021,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,11-11-2021,11-11-2021,,,,,,outbound,VALLEY CENTER            ,KS,          ,              ,SELKIRK                  ,MB,,,0b094578de175037d398f0dc88729161,28:20.4,28:20.4
,North America,CFPS,,,1,R6,1,R6,,55,DHL GLOBAL FORWARDING/AEI (AIR)    ,30-09-2021,30-09-2021,S528097       ,20210930S528097       010055 ,USD,113.8,113.8,113.8,113.8,07-01-2022,,21-01-2022,26-01-2022,28-01-2022,60,08-03-2022,08-03-2022,,C ,Cleared,,,CASS    ,01-01-1900,01-01-1900,21-01-2022,21-01-2022,,,,,,Inbound,CLAYTON                  ,OH,          ,S52809        ,GENEVA                   ,GE,,,7a840ebf0775dc6e93c366f6ddbf40cb,28:20.4,28:20.4
,EAME,CFPS,,,1,35,1,35,,90,UPS SUPPLY CHAIN SOLUTIONS(MENLO)  ,28-10-2020,28-10-2020,3503131577,202010283503131577    010090 ,USD,480.03,480.03,480.03,480.03,05-11-2020,,18-11-2020,23-11-2020,04-01-2021,60,04-01-2021,04-01-2021,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,18-11-2020,18-11-2020,,,,,,outbound,EDMONTON                 ,AB,          ,350313157,GRIMBERGEN               ,  ,,,78f4c4c3831adb3de3268bfae3c435c4,28:20.4,28:20.4
,North America,CFPS,,,1,96,1,96,,4055,DAILY EXPRESS INC                  ,03-02-2020,03-02-2020,4708954,202002034708954       014055 ,USD,5448.8,5448.8,5448.8,5448.8,19-02-2020,,24-02-2020,27-02-2020,17-04-2020,60,19-04-2020,19-04-2020,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,24-02-2020,24-02-2020,,,,,,outbound,SAN LEANDRO              ,CA,989    989,7442041,GALVESTON                ,TX,,,8cf2358fcd58b048a502de7404cf9658,28:20.4,28:20.4
,North America,CFPS,,,1,JQ,JQ,JQ,,7738,C H ROBINSON WORLDWIDE INC         ,07-07-2021,07-07-2021,6141603261,202107076141603261    JQ7738 ,USD,5487.77,5487.77,5487.77,5487.77,17-07-2021,,25-08-2021,30-08-2021,13-09-2021,60,15-09-2021,15-09-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,25-08-2021,25-08-2021,,,,,,Inbound,ATHENS                   ,GA,12044924,362043317,WACO                     ,TX,,,8b55d4308fe6c61334d5471a8d8d7c59,28:20.4,28:20.4
,North America,CFPS,,,1,35,1,35,,90,UPS SUPPLY CHAIN SOLUTIONS(MENLO)  ,19-01-2021,19-01-2021,3503314221,202101193503314221    010090 ,USD,96.06,96.06,96.06,96.06,27-01-2021,,09-02-2021,12-02-2021,26-03-2021,60,28-03-2021,28-03-2021,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,09-02-2021,09-02-2021,,,,,,outbound,BIRMINGHAM               ,AL,          ,350331422,GRIMBERGEN               ,  ,,,88e3d418c1d0b8bc6475e214350aba0f,28:20.4,28:20.4
,North America,CFPS,,,1,13,13,13,,594,"NFI INTERACTIVE LOGISTICS, LCC     ",21-10-2021,21-10-2021,N24508721     ,20211021N24508721     130594 ,USD,230.67,230.67,230.67,230.67,02-11-2021,,18-11-2021,23-11-2021,01-12-2021,60,01-01-2022,01-01-2022,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,18-11-2021,18-11-2021,,,,,,Inbound,DECATUR                  ,IL,          ,              ,WINSTON-SALEM            ,NC,,,1533b4dd37cd6241b2a9128db23f2920,28:20.4,28:20.4
,EAME,CFPS,,,1,35,1,35,,90,UPS SUPPLY CHAIN SOLUTIONS(MENLO)  ,08-12-2020,08-12-2020,3503229048,202012083503229048    010090 ,USD,2.97,2.97,2.97,2.97,16-12-2020,,04-01-2021,07-01-2021,12-02-2021,60,14-02-2021,14-02-2021,,V ,Cleared,,,CASS    ,01-01-1900,01-01-1900,04-01-2021,04-01-2021,,,,,,outbound,WILLIAMSBURG             ,VA,          ,350322904,GRIMBERGEN               ,  ,,,c62d142dc4736f2ca92be0208827ae04,28:20.4,28:20.4
,North America,CFPS,,,1,11,1,11,,2687A,CON-WAY FREIGHT                    ,11-05-2021,11-05-2021,509967743,20210511509967743     012687A,USD,63,63,63,63,24-05-2021,,09-06-2021,14-06-2021,21-07-2021,60,23-07-2021,23-07-2021,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,09-06-2021,09-06-2021,,,,,,Inbound,JOLIET                   ,IL,   VT-4441,509967743,WATSEKA                  ,IL,,,e64638c514c7ec94cf32e2cdd4d3e899,28:20.4,28:20.4
,North America,CFPS,,,1,ZQ,ZQ,ZQ,,265,ALEXIM TRADING CORPORATION         ,14-11-2021,14-11-2021,ALX218110906  ,20211114ALX218110906  ZQ0265 ,USD,48.4,48.4,48.4,48.4,15-11-2021,,07-12-2021,10-12-2021,12-01-2022,60,14-01-2022,14-01-2022,,M ,Cleared,,,CASS    ,01-01-1900,01-01-1900,07-12-2021,07-12-2021,,,,,,outbound,SANTIAGO DE CHILE        ,  ,          ,ALX21811090   ,MIAMI LAKES              ,FL,,,a96856d912b410129d8d79ea29265678,28:20.4,28:20.4
,Asia,CFPS,,,1,MF,MF,MF,,4984,"EVANS TRANSPORTATION SERVICES, INC ",30-11-2021,30-11-2021,F263246       ,20211130F263246       MF4984 ,USD,11.59,11.59,11.59,11.59,06-12-2021,,20-12-2021,23-12-2021,02-02-2022,60,04-02-2022,04-02-2022,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,20-12-2021,20-12-2021,,,,,,Inbound,CAROL STREAM             ,IL,14130852,15004790067,ELKHORN                  ,WI,,,c3a1f8e2435325e98f57273dd72cbb05,28:20.4,28:20.4
,North America,CFPS,,,1,1G,1,1G,,2886,AIR-LAND TRANSPORT SERVICE INC     ,06-01-2020,06-01-2020,1829616,202001061829616       012886 ,USD,55.29,55.29,55.29,55.29,09-01-2020,,14-01-2020,17-01-2020,09-03-2020,60,09-03-2020,09-03-2020,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,14-01-2020,14-01-2020,,,,,,Inbound,BARTONVILLE              ,IL,1441443144,1829616,CRYSTAL LAKE             ,IL,,,192de09c0eb782e25502abe25b2081ad,28:20.4,28:20.4
,Asia,CFPS,,,1,26,1,26,,90,UPS SUPPLY CHAIN SOLUTIONS(MENLO)  ,19-10-2021,19-10-2021,3504573919,202110193504573919    010090 ,USD,2.52,2.52,2.52,2.52,26-10-2021,,12-11-2021,17-11-2021,23-12-2021,60,25-12-2021,25-12-2021,,V ,Cleared,,,CASS    ,01-01-1900,01-01-1900,12-11-2021,12-11-2021,,,,,,outbound,MIAMI SPRINGS            ,FL,          ,350457391,TULLAMARINE              ,VI,,,cbf38b4cecbfed9cf87ea4f50bbdf039,28:20.4,28:20.4
,North America,CFPS,,,1,13,13,13,,3051,AGW STEEL INC                      ,24-06-2020,24-06-2020,21528,2020062421528         133051 ,USD,274,274,274,274,26-06-2020,,10-07-2020,15-07-2020,24-08-2020,60,25-08-2020,25-08-2020,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,10-07-2020,10-07-2020,,,,,,Inbound,DECATUR                  ,IL,          ,45518,SPRINGFIELD              ,IL,,,1195e474fad56a35b8e5efbf0983f03a,28:20.4,28:20.4
,North America,CFPS,,,1,IS,BT,IS,,4982,FORE TRANSPORTATION                ,18-06-2020,18-06-2020,629431,20200618629431        BT4982 ,USD,2.16,2.16,2.16,2.16,02-11-2020,,16-11-2020,19-11-2020,30-12-2020,60,01-01-2021,01-01-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,16-11-2020,16-11-2020,,,,,,outbound,ELWOOD                   ,IL,HAS    HAS,650860,JOLIET                   ,IL,,,f07c19b7ee7c7c2ac787bafa2eb0e41e,28:20.4,28:20.4
,North America,CFPS,,,1,1G,1,1G,,4841,ESTES EXPRESS LINES                ,27-10-2020,27-10-2020,106937897,20201027106937897     014841 ,USD,11.45,11.45,11.45,11.45,19-11-2020,,01-12-2020,04-12-2020,19-01-2021,60,18-01-2021,18-01-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,01-12-2020,01-12-2020,,,,,,Inbound,BARTONVILLE              ,IL,74_525874_,937897,KINGS MOUNTAIN           ,NC,,,5740b76b46571bdf251a9a1baabf5b3b,28:20.4,28:20.4
,North America,CFPS,,,1,13,13,13,,2687A,CON-WAY FREIGHT                    ,14-08-2021,14-08-2021,363237534,20210814363237534     132687A,USD,10.9,10.9,10.9,10.9,27-08-2021,,01-09-2021,07-09-2021,30-09-2021,60,26-10-2021,26-10-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,01-09-2021,01-09-2021,,,,,,Inbound,DECATUR                  ,IL,12552234,363237534,VERNON HILLS             ,IL,,,65bb406349a27286b985d4f9f9dacafe,28:20.4,28:20.4
,North America,CFPS,,,1,XB,1,XB,,90,UPS SUPPLY CHAIN SOLUTIONS(MENLO)  ,23-08-2021,23-08-2021,5011629194,202108235011629194    010090 ,USD,19.18,19.18,19.18,19.18,01-09-2021,,15-09-2021,20-09-2021,29-10-2021,60,31-10-2021,31-10-2021,,Y ,Cleared,,,CASS    ,01-01-1900,01-01-1900,15-09-2021,15-09-2021,,,,,,outbound,AURORA                   ,CO,          ,501162919,SHANGHAI                 ,  ,,,c3353a77aad0eb19ae7e6f6281e78d0a,28:20.4,28:20.4
,North America,CFPS,,,1,47,1,47,,8496,UNITED PARCEL SERVICE              ,12-12-2019,12-12-2019,6.22E+12,201912126218080300118 018496 ,USD,31.65,31.65,31.65,31.65,19-01-2020,,19-01-2020,27-01-2020,17-03-2020,60,19-03-2020,19-03-2020,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,0000-12-30,0000-12-30,996,,,,,outbound,                         ,  ,          ,              ,                         ,  ,,,fe32d2999121b9cf06dbcf58be8fc5ee,28:20.4,28:20.4
,EAME,CFPS,,,1,35,1,35,,90,UPS SUPPLY CHAIN SOLUTIONS(MENLO)  ,22-10-2021,22-10-2021,3504610967,202110223504610967    010090 ,USD,138.27,138.27,138.27,138.27,28-10-2021,,15-11-2021,18-11-2021,27-12-2021,60,27-12-2021,27-12-2021,,Y ,Cleared,,,CASS    ,01-01-1900,01-01-1900,15-11-2021,15-11-2021,,,,,,outbound,POINTE-CLAIRE            ,QC,          ,350461096,GRIMBERGEN               ,BR,,,40b400531835592df6ad712245e75e62,28:20.4,28:20.4
,North America,CFPS,,,1,90,1,90,,8496,UNITED PARCEL SERVICE              ,24-02-2022,24-02-2022,3.70E+12,202202243700541020305 018496 ,USD,15.37,15.37,15.37,15.37,06-03-2022,,06-03-2022,11-03-2022,0000-12-30,60,05-05-2022,05-05-2022,,A ,Open,,,Z1FP4065,01-01-1900,01-01-1900,0000-12-30,0000-12-30,219,,,,,outbound,                         ,  ,          ,              ,                         ,  ,,,dadf3564c1e21ed2ffa8e5b9487dc4b6,28:20.4,28:20.4
,North America,CFPS,,,1,ZQ,ZQ,ZQ,,265,ALEXIM TRADING CORPORATION         ,16-01-2020,16-01-2020,ALX208010756  ,20200116ALX208010756  ZQ0265 ,USD,823.76,823.76,823.76,823.76,17-01-2020,,17-02-2020,20-02-2020,16-03-2020,60,17-03-2020,17-03-2020,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,17-02-2020,17-02-2020,,,,,,outbound,SANTIAGO DE CHILE        ,  ,          ,ALX20801075   ,MIAMI LAKES              ,FL,,,10026215808aeb35a22fe46459b4cd5c,28:20.4,28:20.4
,North America,CFPS,,,1,85,1,85,,90,UPS SUPPLY CHAIN SOLUTIONS(MENLO)  ,20-03-2020,20-03-2020,5955629647,202003205955629647    010090 ,USD,118.2,118.2,118.2,118.2,26-03-2020,,31-03-2020,03-04-2020,26-05-2020,60,25-05-2020,25-05-2020,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,31-03-2020,31-03-2020,,,,,,outbound,POINTE-CLAIRE            ,QC,          ,595562964,SINGAPORE                ,  ,,,794a6e1b29f8e02e174d0a1cf172fc7d,28:20.4,28:20.4
,North America,CFPS,,,1,88,88,88,,7738,C H ROBINSON WORLDWIDE INC         ,06-03-2020,06-03-2020,6115267720,202003066115267720    887738 ,USD,108.38,108.38,108.38,108.38,20-03-2020,,03-04-2020,08-04-2020,18-05-2020,60,19-05-2020,19-05-2020,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,03-04-2020,03-04-2020,,,,,,Inbound,LAFAYETTE                ,IN,533    533,318164712,MORRISTOWN               ,TN,,,c204654ef6b3bdfffa1a83494d077658,28:20.4,28:20.4
,North America,CFPS,,,1,1,1,1,,4374,DHL EXPRESS INC                    ,24-01-2022,24-01-2022,8265019254,202201248265019254    014374 ,USD,738.5,738.5,738.5,738.5,10-02-2022,,22-02-2022,25-02-2022,11-04-2022,60,11-04-2022,11-04-2022,,Y ,Cleared,,,CASS    ,01-01-1900,01-01-1900,22-02-2022,22-02-2022,,,,,,outbound,YATALA                   ,QL,          ,826501925,PEORIA                   ,IL,,,f3ae8e6bc97341cc7fcfcd996f71aa15,28:20.4,28:20.4
,North America,CFPS,,,1,56,1,56,,90,UPS SUPPLY CHAIN SOLUTIONS(MENLO)  ,19-10-2021,19-10-2021,3948773939,202110193948773939    010090 ,USD,27.24,27.24,27.24,27.24,22-10-2021,,27-10-2021,01-11-2021,20-12-2021,60,21-12-2021,21-12-2021,,C ,Cleared,,,CASS    ,01-01-1900,01-01-1900,27-10-2021,27-10-2021,,,,,,outbound,BELLE                    ,WV,          ,394877393,MIAMI LAKES              ,FL,,,74dbaed568c6702eec75ccb319ffb927,28:20.4,28:20.4
,North America,CFPS,,,1,CZ,CZ,CZ,,4982,FORE TRANSPORTATION                ,02-04-2020,02-04-2020,621999,20200402621999        CZ4982 ,USD,55,55,55,55,13-04-2020,,16-10-2020,21-10-2020,28-10-2020,60,12-06-2020,12-06-2020,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,16-10-2020,16-10-2020,,,,,,Inbound,JOLIET                   ,IL,902MSCU902,              ,HARVEY                   ,IL,,,1f3f10fae331846ce035611390bc8bd9,28:20.4,28:20.4
,North America,CFPS,,,1,TT,1,TT,,4364,DEPENDABLE HAWAIIAN EXPRESS        ,02-10-2021,02-10-2021,4928840,202110024928840       014364 ,USD,77.85,77.85,77.85,77.85,05-10-2021,,01-11-2021,04-11-2021,12-11-2021,60,04-12-2021,04-12-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,01-11-2021,01-11-2021,,,,,,outbound,LIHUE                    ,HI,          ,              ,ARVIN                    ,CA,,,e158300fac23663a675693bcc70567c6,28:20.4,28:20.4
,North America,CFPS,,,1,R2,R2,R2,,594,"NFI INTERACTIVE LOGISTICS, LCC     ",03-05-2021,03-05-2021,1735906,202105031735906       R20594 ,USD,640,640,640,640,11-05-2021,,27-05-2021,02-06-2021,09-06-2021,60,10-07-2021,10-07-2021,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,27-05-2021,27-05-2021,,,,,,outbound,SAN ANTONIO              ,TX,352    352,              ,WACO                     ,TX,,,3d6276ad95b9d6b2fec07128291fcb27,28:20.4,28:20.4
,North America,CFPS,,,1,DQ,DQ,DQ,,3931,"CONTRACT FREIGHTERS, INC.          ",21-02-2022,21-02-2022,9643723,202202219643723       DQ3931 ,USD,857,857,857,857,02-03-2022,,31-03-2022,05-04-2022,0000-12-30,60,01-05-2022,01-05-2022,,M ,Open,,,Z1FP4065,01-01-1900,01-01-1900,31-03-2022,31-03-2022,,,,,,Inbound,WACO                     ,TX,15276366,9643723,TORREON                  ,CU,,,c0c5b2c8371415af83c899f95868aad8,28:20.4,28:20.4
,North America,CFPS,,,1,R2,R2,R2,,3080,AVERITT EXPRESS INC                ,05-08-2020,05-08-2020,1040116459,202008051040116459    R23080 ,USD,1465,1465,1465,1465,07-08-2020,,12-08-2020,17-08-2020,04-09-2020,30,06-09-2020,06-09-2020,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,12-08-2020,12-08-2020,,,,,,outbound,CORPUS CHRISTI           ,TX,544    544,270984,WACO                     ,TX,,,a42c092c60b99706dc328d50d6ff9b9f,28:20.4,28:20.4
,North America,CFPS,,,1,SE,SE,SE,,5949,"ROYAL EXPRESS, INC                 ",24-03-2021,24-03-2021,312238,20210324312238        SE5949 ,USD,2033,2033,2033,2033,07-05-2021,,26-05-2021,01-06-2021,06-07-2021,60,06-07-2021,06-07-2021,,Y ,Cleared,,,CASS    ,01-01-1900,01-01-1900,12-05-2021,12-05-2021,,,,,,Inbound,VICTORIA                 ,TX,MP0    MP0,10275388,PESQUERIA                ,NL,,,9bcbee74297710f559d9150137f2d139,28:20.4,28:20.4
,China,CFPS,,,1,RS,RS,RS,,4984,"EVANS TRANSPORTATION SERVICES, INC ",10-09-2020,10-09-2020,D540547       ,20200910D540547       RS4984 ,USD,1.28,1.28,1.28,1.28,14-09-2020,,17-09-2020,22-09-2020,12-11-2020,60,13-11-2020,13-11-2020,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,17-09-2020,17-09-2020,,,,,,Inbound,JOLIET                   ,IL,TRU    TRU,77762145546,CHAMPAIGN                ,IL,,,ddcca15befbb260cbe57b5eebb73a3a7,28:20.4,28:20.4
,EAME,CFPS,,,1,35,1,35,,90,UPS SUPPLY CHAIN SOLUTIONS(MENLO)  ,10-12-2021,10-12-2021,3504901466,202112103504901466    010090 ,USD,8.91,8.91,8.91,8.91,20-12-2021,,05-01-2022,10-01-2022,16-02-2022,60,18-02-2022,18-02-2022,,Y ,Cleared,,,CASS    ,01-01-1900,01-01-1900,05-01-2022,05-01-2022,,,,,,outbound,EBENSBURG                ,PA,          ,350490146,GRIMBERGEN               ,  ,,,657e3f2bf1d4ab20c381d35b9b6c280f,28:20.4,28:20.4
,North America,CFPS,,,1,SE,SE,SE,,3349,XPO LOGISTICS                      ,15-04-2021,15-04-2021,321076180,20210415321076180     SE3349 ,USD,826.69,826.69,826.69,826.69,22-06-2021,,14-07-2021,19-07-2021,19-08-2021,60,21-08-2021,21-08-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,14-07-2021,14-07-2021,,,,,,outbound,LA PORTE                 ,TX,          ,              ,VICTORIA                 ,TX,,,9c1aa4b1e56de7f453f8f318a18bdf52,28:20.4,28:20.4
,North America,CFPS,,,1,ZQ,ZQ,ZQ,,265,ALEXIM TRADING CORPORATION         ,18-12-2020,18-12-2020,ALX208120850  ,20201218ALX208120850  ZQ0265 ,USD,7.6,7.6,7.6,7.6,22-12-2020,,08-01-2021,13-01-2021,18-02-2021,60,20-02-2021,20-02-2021,,M ,Cleared,,,CASS    ,01-01-1900,01-01-1900,08-01-2021,08-01-2021,,,,,,outbound,SANTIAGO DE CHILE        ,  ,          ,ALX20812085   ,MIAMI LAKES              ,FL,,,28ab6a379d35d61256653129f1b1a214,28:20.4,28:20.4
,North America,CFPS,,,1,35,1,35,,90,UPS SUPPLY CHAIN SOLUTIONS(MENLO)  ,21-06-2021,21-06-2021,3503836600,202106213503836600    010090 ,USD,303.86,303.86,303.86,303.86,29-06-2021,,16-07-2021,21-07-2021,26-08-2021,60,28-08-2021,28-08-2021,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,16-07-2021,16-07-2021,,,,,,outbound,BILLINGS                 ,MT,          ,350383660,GRIMBERGEN               ,  ,,,d256d76f5d28fd61d90acdf6f9f5581c,28:20.4,28:20.4
,North America,CFPS,,,1,40,40,40,,5949,"ROYAL EXPRESS, INC                 ",02-07-2020,02-07-2020,287095,20200702287095        405949 ,USD,521,521,521,521,15-07-2020,,20-07-2020,23-07-2020,11-09-2020,60,13-09-2020,13-09-2020,,M ,Cleared,,,CASS    ,01-01-1900,01-01-1900,20-07-2020,20-07-2020,,,,,,Inbound,SAN ANTONIO              ,TX,W28   WW28,71103,RAMOS ARIZPE             ,CU,,,b84596cf1d08cf96a23a2f1c493fa078,28:20.4,28:20.4
,North America,CFPS,,,1,Y7,1,Y7,,5604,HEARTLAND EXPRESS INC              ,25-06-2020,25-06-2020,6026056,202006256026056       015604 ,USD,1103.4,1103.4,1103.4,1103.4,29-06-2020,,02-07-2020,08-07-2020,27-07-2020,30,29-07-2020,29-07-2020,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,02-07-2020,02-07-2020,,,,,,Inbound,CHILLICOTHE              ,IL,5-A10035-A,6419583,MITCHELL                 ,SD,,,8f22e43f93fb9adfa537d3a9f19e7f26,28:20.4,28:20.4
,North America,CFPS,,,1,13,13,13,,4982,FORE TRANSPORTATION                ,12-03-2021,12-03-2021,652227,20210312652227        134982 ,USD,18.09,18.09,18.09,18.09,30-03-2021,,16-04-2021,21-04-2021,27-05-2021,60,29-05-2021,29-05-2021,,Y ,Cleared,,,CASS    ,01-01-1900,01-01-1900,12-04-2021,12-04-2021,,,,,,Inbound,JOLIET                   ,IL,481MSCU481,              ,BEDFORD PARK             ,IL,,,ce3393570486d5a84e217a91665130a2,28:20.4,28:20.4
